CompoundID,InChIKey,SMILES,logS,logP,MW
C4057,RQBBJSWBKDLENV-HPJBNNNXSA-N,COc1cc(/C=C/C(=O)CCN2CCN(CC2)c2ccc(cc2)F)cc(c1OC)OC.Cl.O,-4.069029225,4.3867,482.973
C4058,OWMJKFSJIQIFBC-APSNUPSMSA-N,CC(CN(CC(=O)N/N=C\c1ccc(o1)[N+](=O)[O-])CC(C)C)C,-4.068575653,3.166,324.375
C4059,QNRATNLHPGXHMA-XZHTYLCXSA-N,CCOc1ccc2c(c1)c(ccn2)[C@H]([C@@H]1C[C@@H]2CCN1C[C@@H]2CC)O.Cl,-4.06839906,4.5272,376.92
C4060,MBMQEIFVQACCCH-QBODLPLBSA-N,C[C@H]1CCCC(=O)CCC/C=C/c2c(C(=O)O1)c(O)cc(c2)O,-4.068042639,3.5796,318.364
C4061,XJGFWWJLMVZSIG-UHFFFAOYSA-N,Nc1c2ccccc2nc2c1cccc2,-4.067962329,3.5514,194.232
C4062,MPQHRPVQJUEINF-UHFFFAOYSA-N,COc1ccc2c(c1)c(N)c1c(n2)cccc1,-4.067456399,3.56,224.258
C4063,XDRYMKDFEDOLFX-UHFFFAOYSA-N,NC(=N)c1ccc(cc1)OCCCCCOc1ccc(cc1)C(=N)N,-4.067236478,4.4829,340.419
C4064,WSKCLYSPBODMHR-UHFFFAOYSA-N,OC(=O)C1CCc2c1cc(O)c(c2)C1CCCCC1,-4.067224377,3.5543,260.328
C4065,HHUZGDMRRLQZIQ-PXWUZWBYSA-N,O[C@@H]1CC[C@]2([C@@H](C1)[C@@H](O)C[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2C(=O)C)C)C,-4.066514225,3.566,334.493
C4066,NFVCQZNBRFPYOP-WDDOJFKXSA-N,O[C@@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2[C@H](O)C[C@]2([C@H]1CC[C@@H]2C(=O)C)C)C,-4.066514225,3.566,334.493
C4067,SSBDRUWRKMHEKG-UHFFFAOYSA-N,CCC(C(C(C[NH+](C)C)C)(c1ccccc1)c1ccccc1)O.[Cl-],-4.065816944,-0.4718,347.922
C4068,UIPBKZGYQDPIPY-UHFFFAOYSA-N,NCCCC(C(CCCCCCCCN=C(N)N)O)NC(=O)CCCCCCCCN=C(N)N,-4.065367437,5.4716,484.722
C4069,GLSCRQYNOJCMSO-UHFFFAOYSA-N,CCC(=O)c1ccc(cc1)OCC(CN1CCN2C(C1)CCc1c2cccc1)O.Cl,-4.065076143,3.9609,430.968
C4070,HJXQETKWGAZTPT-UHFFFAOYSA-M,CC(=O)NCCSSc1cc(Cl)ccc1c1ccc(cc1S(=O)[O-])Cl.[Na+],-4.06351342,6.0314,458.378
C4071,YYUAYBYLJSNDCX-UHFFFAOYSA-N,Cc1onc(c1)NC(=O)C1=C(O)c2ccccc2S(=O)(=O)N1C,-4.062032571,2.5741,335.335
C4072,QRJOQYLXZPQQMX-FWROMSNXSA-N,O[C@@H]1CC[C@]2([C@H](C1)CC[C@@H]1[C@@H]2C(=O)C[C@]2([C@H]1CC[C@@H]2C(=O)COC(=O)C)C)C,-4.061571701,3.3174,390.513
C4073,LHERLWVEBQULCM-UHFFFAOYSA-N,COC(=O)c1ccc2c(c1)c(N)c1c(n2)cccc1,-4.06142664,3.338,252.268
C4074,UEDPIABBBXACGR-SFQUDFHCSA-N,CCOC(=O)c1ccc(cc1)/N=C/c1ccccc1,-4.061214206,3.6139,253.296
C4075,KJPKPBMWHKBKHG-UHFFFAOYSA-N,O=C(C(c1ccccc1)CN1CCCCC1)c1ccccc1,-4.060934731,4.0769,293.403
C4076,LRMYMYHAGWQOEO-UHFFFAOYSA-N,CCCC1(CCN(C1)CCc1ccc(cc1)O)c1cccc(c1)O,-4.060700509,4.022,325.445
C4077,FXYIDUGIODSYAI-UHFFFAOYSA-N,Brc1cc(Br)c2c(c1)nc(o2)N,-4.060444996,3.5162,291.927
C4078,AHVZWIOHDYMAPH-UHFFFAOYSA-N,O=C(c1ccc(cc1)[N+](=O)[O-])Nc1ncccc1C(=O)O,-4.060291286,2.5365,287.228
C441,OCKPCBLVNKHBMX-UHFFFAOYSA-N,CCCCc1ccccc1,-4.0599999,3.0292,134.218
C442,HFBWPRKWDIRYNX-UHFFFAOYSA-N,CCNc1nc(Cl)nc(n1)N(CC)CC,-4.0599999,1.876,229.71
C4079,HYWYRSMBCFDLJT-UHFFFAOYSA-N,[O-][N+](=O)c1ccc(c(c1)Oc1ccccc1)NS(=O)(=O)C,-4.058909753,4.4356,308.31
C4080,SVJMILFDDBKCGG-UHFFFAOYSA-N,N/C(=N\C(=N\C(C)C)\N)/Nc1ccc(c(c1)Cl)Cl.Cl,-4.058075663,4.7187,324.637
C4081,JPGUEMQIAGJQSJ-UHFFFAOYSA-N,CC(=O)Oc1ccc(cc1)C1(c2ccc(cc2)OC(=O)C)C(=O)N(c2c1cccc2)C(=O)C,-4.058017821,3.8297,443.448
C4082,AUYQRZBSZQENLZ-UHFFFAOYSA-N,CCOC(C(=O)N(CC[NH+](C)C)C)(c1ccccc1)c1ccccc1.[Cl-],-4.057740992,-1.4264,376.92
C4083,WNIFZUHTATXJSM-UHFFFAOYSA-N,CC(c1ccccc1)CNCC1CCc2c(N1)cccc2.Cl.Cl,-4.056820036,5.9395,353.329
C4084,NRVYNZHIMCNVEP-UHFFFAOYSA-N,CC(N1CCC(CC1)C1CCCCC1)C.Cl,-4.056189981,4.427,245.832
C4085,XDXZMDODHZOHLT-UHFFFAOYSA-N,Brc1ccc(nc1)OCCCCCCN1CSCC1.Cl,-4.05544772,4.5295,381.759
C4086,ZLZWUOKDFLNZFV-UNTBIKODSA-N,CCC(=O)C(c1ccccc1)(c1ccccc1)[C@@H](CN(C)C)C.Cl,-4.054664546,4.9515,345.906
C4087,ZLZWUOKDFLNZFV-LMOVPXPDSA-N,CCC(=O)C(c1ccccc1)(c1ccccc1)[C@H](CN(C)C)C.Cl,-4.054664546,4.9515,345.906
C4088,ZLZWUOKDFLNZFV-UHFFFAOYSA-N,CCC(=O)C(C(C[NH+](C)C)C)(c1ccccc1)c1ccccc1.[Cl-],-4.054664546,-0.2636,345.906
C4089,QCCCFHDTBTUDEA-UHFFFAOYSA-M,CCCN(S(=O)(=O)c1ccc(cc1)C(=O)[O-])CCC.[Na+],-4.054649796,1.9416,307.341
C4090,QOVTVIYTBRHADL-UHFFFAOYSA-N,ClC(=C(c1cc(N)c(cc1S(=O)(=O)N)S(=O)(=O)N)Cl)Cl,-4.054303291,5.0495,380.656
C4091,QCDFBFJGMNKBDO-UHFFFAOYSA-N,Ic1cc(Cl)c2c(c1O)nccc2,-4.052681987,3.1984,305.5
C4092,MISZALMBODQYFT-URVXVIKDSA-N,COc1ccc2c(c1)[C@@]13CCCC[C@@H]3[C@H](C2)N(CC1)C.Br,-4.051388041,4.2794,352.309
C4093,SCULJPGYOQQXTK-OLRINKBESA-N,O[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@]31O[C@@H]3[C@@H]([C@@H]2c1ccc(=O)oc1)OC(=O)C)C)C,-4.050468086,3.7999,442.545
C443,OQZCSNDVOWYALR-GMSGAONNSA-N,ClC[C@@H]1CN(C(=O)[C@@H]1Cl)c1cccc(c1)C(F)(F)F,-4.0500002,3.5794,312.115
C4094,AVOLMBLBETYQHX-UHFFFAOYSA-N,CCC(=C)C(=O)c1ccc(c(c1Cl)Cl)OCC(=O)O,-4.049147842,3.6057,303.138
C4095,SOQHBMQZZHEBPB-UHFFFAOYSA-N,COC(=O)c1ccccc1OCC(CN1CCN(CC1)c1ccc(c(c1)C)C)O.Cl.Cl,-4.048094641,4.2588,471.417
C4096,PLILWSQASBSXGX-UHFFFAOYSA-N,Clc1ccc(nc1)OCCCCCCCN1CCSC1.Cl,-4.04740467,4.8105,351.335
C4097,CNBGNNVCVSKAQZ-UHFFFAOYSA-N,CN(CCCOc1nn(c2c1cccc2)Cc1ccccc1)C,-4.047119081,3.4151,309.405
C4098,PNADBYWNNBOKJK-UHFFFAOYSA-N,CN(CC=C(c1cccc(c1)F)c1ccc(cc1)Cl)C.Cl,-4.04666425,5.2744,326.236
C4099,KKEYFWRCBNTPAC-UHFFFAOYSA-N,OC(=O)c1ccc(cc1)C(=O)O,-4.044362034,1.083,166.131
C4100,FHKFDOULAQDMMV-UHFFFAOYSA-N,CCCC(CCC)C[NH2+]Cc1ccccc1.[Cl-],-4.044339491,-0.0296,255.827
C4101,WOWVKCQUDQVBGJ-UHFFFAOYSA-M,CCCCCCC1(CC)C(=O)NC(=S)N=C1[O-].[Na+],-4.043184459,2.3613,278.346
C4102,YESHDEHJHNPWDU-UHFFFAOYSA-N,CC[NH+](CCN1C(=O)C(C)Oc2c1ccc(c2Cl)Cl)CC.[Cl-],-4.043043503,-0.899,367.698
C4103,NIWCFXFECXNXGD-PFEQFJNWSA-N,COc1ccc2c(c1O)c1cccc3c1[C@@H](C2)N(C)CC3.Cl,-4.042779156,3.8928,317.81
C4104,QAYGLHSZAFDOJZ-UHFFFAOYSA-N,CN1CCN(CC1)c1nc(c(o1)c1ccccc1)c1ccccc1,-4.041947778,3.7633,319.4
C4105,VUPBWNXFSDRWJE-UHFFFAOYSA-N,COc1ccc(cc1)N(C(=O)c1ccc(cc1)Cl)CCCC(=O)O,-4.041773721,3.8602,347.793
C4106,YQBRPZBLROENTD-UHFFFAOYSA-N,CCOC(=O)N1CCCc2c1cccc2,-4.040456371,2.6607,205.253
C4107,DZSKWIJNUAODIH-UHFFFAOYSA-N,N(Cc1ccco1)CC1CCC(CC1)CNCc1ccco1.Cl.Cl,-4.040391813,5.9442,375.333
C4108,WIYOPYDPWIXASZ-UHFFFAOYSA-N,COc1nnc(c(n1)c1ccccc1)c1ccccc1,-4.040239601,3.2142,263.294
C4109,KPXAEWKEEYFYFK-UHFFFAOYSA-N,CCC(=O)OC1(CCN(CC1C)C)C1CCCCC1.Cl,-4.040209486,3.9702,303.868
C444,NVGOPFQZYCNLDU-UHFFFAOYSA-N,CNc1cnn(c(=O)c1Cl)c1cccc(c1)C(F)(F)F,-4.04,3.0194,303.668
C445,ZNOLGFHPUIJIMJ-UHFFFAOYSA-N,COP(=S)(Oc1ccc(c(c1)C)[N+](=O)[O-])OC,-4.04,3.9731,277.234
C4110,WDMDRQDYTJNZNG-UHFFFAOYSA-N,COc1ccccc1N1CCN(CC1)CC(OC(=O)C)COc1ccccc1C(=O)C,-4.039982672,3.0334,426.505
C4111,IQWYAQCHYZHJOS-UHFFFAOYSA-N,Clc1ccc2c(c1)C(=NCC(=O)N2C)C1=CCCCC1,-4.039120187,3.1065,288.772
C4112,LLWOSCXMBDNLHR-UHFFFAOYSA-N,Clc1ccc2c(c1)c(C)cc(n2)OCCCN1CSCC1.Cl,-4.036954144,4.7117,359.314
C4113,JDYPDROIHIKNOT-UHFFFAOYSA-M,N/C(=N\CC1CCCCCC1)/CSP(=O)(O)[O-].[Na+],-4.034841113,3.2784,302.306
C4114,LKYQLAWMNBFNJT-UHFFFAOYSA-N,CCOC(=O)C1(CCN(CC1)CCc1ccc(cc1)N)c1ccccc1,-4.033115835,3.9273,352.47
C4115,YSKCXFJVTRCGGD-UHFFFAOYSA-N,Brc1cnc(c(c1)Br)OCCCCCNCCSS(=O)(=O)O,-4.031262266,4.753,478.22
C4116,BLGXFZZNTVWLAY-DIRVCLHFSA-N,COC(=O)[C@@H]1[C@@H](O)CC[C@H]2[C@@H]1C[C@@H]1N(C2)CCc2c1[nH]c1c2cccc1,-4.030514954,2.585,354.443
C446,GWQSENYKCGJTRI-UHFFFAOYSA-N,Clc1ccc(cc1)I,-4.0300002,2.9446,238.453
C4117,JZCOHOFRCPHFPZ-LZMXEPDESA-N,CCCC/C=N/CCOC(=O)c1cccc(c1OC)OC.Cl,-4.028319838,3.9236,329.819
C4118,YPQLFJODEKMJEF-UHFFFAOYSA-N,O=C(C(O)(C)C)Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-],-4.027158656,2.9192,292.211
C4119,SVUNHVRERLOSES-UHFFFAOYSA-N,ClCC[NH+](CCOc1ccccc1C(C)C)CC.[Cl-],-4.026713389,-0.6636,306.271
C4120,ULIQGBPQLPCTAJ-UHFFFAOYSA-N,c1ccc(cc1)CSc1ncnc2c1[nH]cn2,-4.026418567,2.6452,242.3
C4121,NDSWVTKMCVPUFP-UHFFFAOYSA-N,CN1C2CCC1CN(C2)CCOC(=O)C(c1ccccc1)c1ccccc1,-4.026390318,3.0159,364.481
C4122,HNNIWKQLJSNAEQ-UHFFFAOYSA-N,CN(CCCOc1nn(c2c1cccc2)Cc1ccccc1)C.Cl,-4.024366397,4.2171,345.866
C4123,LDZSKXHAIBCHCF-UHFFFAOYSA-N,CCNCCCC12CC3CC(C2)CC(C1)C3.Cl,-4.023970589,4.7854,257.843
C4124,VKRAZLAKVAQZGN-UHFFFAOYSA-N,CNCCCCC12CC3CC(C2)CC(C1)C3.Cl,-4.023970589,4.7854,257.843
C4125,DBABZHXKTCFAPX-UHFFFAOYSA-N,CCCN(S(=O)(=O)c1ccc(cc1)C(=O)O)CCC,-4.022741392,3.2763,285.359
C4126,BXRQFVDIGIQZHQ-UHFFFAOYSA-M,Clc1ccccc1C[N+]12CCCC(CC1)CC2.[Cl-],-4.022161404,0.8234,286.24
C4127,UJRZYZOZJMDYJL-UHFFFAOYSA-N,CCCCC[NH2+]C(C(c1ccccc1)O)C.[Cl-],-4.022120198,-1.1339,257.799
C4128,KXJCBPYHSBXEBT-OCIYDRMTSA-N,C#CCN1CC[C@@]23[C@H]([C@H]1Cc1c3cc(cc1)OC)CCCC2.Br,-4.020483636,4.2828,376.331
C4129,AFQKQSFAMSDDFK-UHFFFAOYSA-N,OCCOc1c(cc(cc1c1ccccc1)Br)C(=O)NCCO,-4.020148903,2.6002,380.233
C4130,NUTCGOHCGOZXLH-UHFFFAOYSA-N,O=C(N1CC=Cc2c1cccc2)Nc1ccccc1,-4.020064666,3.8899,250.295
C4131,ZQDJSWUEGOYDGT-UHFFFAOYSA-N,CN(CCOC(c1ccc(cc1)Br)c1ccccc1)C.Cl,-4.020036897,4.9187,370.712
C447,YZZVKLJKDFFSFL-UHFFFAOYSA-N,COc1c(O)c(Cl)c(c(c1Cl)Cl)Cl,-4.02,4.0144,261.917
C448,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C,-4.02,3.8792,288.424
C4132,WSEQXVZVJXJVFP-UHFFFAOYSA-N,N#Cc1ccc2c(c1)COC2(CCCN(C)C)c1ccc(cc1)F,-4.018458771,3.81298,324.392
C4133,GJQPMPFPNINLKP-UHFFFAOYSA-N,Clc1cc(cc(c1Cl)S(=O)(=O)N)S(=O)(=O)N,-4.01704474,3.8504,305.159
C4134,YAQKGZXXQNKEET-UHFFFAOYSA-N,Clc1ccc2c(c1)C1N(CCc3c1cccc3)CC(=O)N2C,-4.015255636,3.2668,312.793
C4135,AZFXSZIPSXMHIM-UHFFFAOYSA-N,CC[NH+](CCOC(=O)NC(c1ccccc1)c1ccccc1)CC.[Cl-],-4.01447747,-0.1782,362.894
C4136,APZVCLYXVHJXNZ-UHFFFAOYSA-N,CCC1CNC(=O)OC21CCN(CC2)CCCC(=O)c1ccc(cc1)F,-4.013935008,3.6559,362.438
C4137,LYDULXUBCSVHIU-BUHFOSPRSA-N,CN(/N=N/c1cccc(c1)C(F)(F)F)C,-4.013391476,3.2657,217.191
C4138,ZWYUGDUPLSGYSK-UHFFFAOYSA-N,O=C1NC(=O)C2(N1)CCc1c(C2)cccc1,-4.012716758,1.4111,216.236
C4139,VDZOOKBUILJEDG-UHFFFAOYSA-M,CCCC[N+](CCCC)(CCCC)CCCC.[OH-],-4.012700001,4.8268,259.471
C4140,BEHAYNJEBLPIAF-UHFFFAOYSA-N,CC[NH+](CCOC(=O)C=C(c1ccccc1)c1ccccc1)CC.[Cl-],-4.010867502,-0.4098,359.89
C4141,GWEKFXIDRLUTTF-UHFFFAOYSA-N,OC(CN1CCN(CC1)c1ccc(c(c1)C)C)COc1ccccc1C(O)C.Cl.Cl,-4.010022817,4.5255,457.434
C4142,UVGXKOHVQFOLQY-UHFFFAOYSA-N,CC[NH2+]C(c1ccc(cc1)OC)Cc1ccc(cc1)OC.[Cl-],-4.009336213,-0.4251,321.842
C4143,JFSREJNHMRLMQA-UHFFFAOYSA-N,c1ccc(cc1)CN1CCN2C(C1)CCc1c2cccc1.Cl.Cl,-4.009138251,4.9305,351.313
C4144,VWFBNRGXDCXMOJ-ZROIWOOFSA-N,N#C/C(=N/Nc1cccc(c1)Cl)/C(=O)OC,-4.008382771,1.87748,237.642
C4145,GKOVMTHKJDWVMC-UHFFFAOYSA-N,Cc1ccc2c(c1)c(C)cc(n2)OCCCCCNCCSS(=O)(=O)O,-4.008290811,4.998,398.54
C4146,IUZCDJYHMMWBBE-UHFFFAOYSA-N,CCC(c1cnc(c(=O)n1O)CC(C)C)C,-4.007428425,2.1926,224.299
C4147,PFPZRMUCMKVUEX-UHFFFAOYSA-N,CCCCCCCc1ccc(cc1O)O,-4.006937473,3.6107,208.297
C4148,VZHYBDYSAGXDLU-OCIYDRMTSA-N,CC(CN1CC[C@@]23[C@H]([C@H]1Cc1c3cc(cc1)O)CCCC2)C.Br,-4.005018412,5.0026,380.362
C4149,OYDAIYIGFOBNQU-UHFFFAOYSA-N,CN(CC(=O)N1Cc2ccccc2CC2C1CCCC2)C.Cl,-4.003887144,3.4316,322.873
C4150,HPLFQKUIHGZHPH-UHFFFAOYSA-N,CCC(C1(O)CCC(CC1)c1ccccc1)C(=O)O,-4.003739061,3.1861,262.344
C4151,IECCHUISCGCKKS-UHFFFAOYSA-N,OC(c1ccccc1)(c1ccccc1)CCN1CCCCC1.Cl,-4.002472376,4.5384,331.88
C4152,FVYRUSCZCWSFLT-UHFFFAOYSA-N,CCOP(=O)(Cc1ccc(cc1)c1nc2c(s1)cccc2)OCC,-4.001680841,5.7294,361.395
C4153,COAWNPJQKJEHPG-UHFFFAOYSA-N,Oc1cc(O)c2c(c1)[o+]c(c(c2)O)c1ccc(c(c1)O)O.[Cl-],-4.001613937,-0.0871,322.697
C4154,VJJPUSNTGOMMGY-MRVIYFEKSA-N,COc1cc(cc(c1O)OC)[C@H]1[C@H]2C(=O)OC[C@@H]2[C@@H](c2c1cc1OCOc1c2)O[C@@H]1O[C@@H]2CO[C@H](O[C@H]2[C@@H]([C@H]1O)O)C,-4.001154125,1.3386,588.557
C4155,NMWSVYJLYUFTPR-UHFFFAOYSA-K,I[Bi](I)I.C=CC1CN2CCC1CC2C(c1ccnc2c1cc(OC)cc2)O.I,-4.000846883,6.7664,1042.02
C449,XMGQYMWWDOXHJM-JTQLQIEISA-N,CC1=CC[C@@H](CC1)C(=C)C,-4,3.3089,136.234
C450,BEZDDPMMPIDMGJ-UHFFFAOYSA-N,Cc1cc(C)c(c(c1C)C)C,-4,3.2286,148.245
C451,RELMFMZEBKVZJC-UHFFFAOYSA-N,Clc1c(Cl)cccc1Cl,-4,3.6468,181.447
C452,ITRJWOMZKQRYTA-RFZYENFJSA-N,CC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)CC(=O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,-4,2.5606,402.481
C453,IROINLKCQGIITA-UHFFFAOYSA-N,CCNc1nc(SC)nc(n1)NC(C)(C)C,-4,2.3817,241.356
C4156,LNTWEXZEWDVLCB-UHFFFAOYSA-N,Clc1ccc(cc1)C(c1ccccc1)OCCN1CCOCC1.Cl,-3.999172994,4.5181,368.297
C4158,PINRKRQYFSAIKY-UHFFFAOYSA-N,OC(=O)c1ccc2c(c1)c(N)c1c(n2)cccc1,-3.998627717,3.2496,238.241
C4159,KKHPNPMTPORSQE-UHFFFAOYSA-N,CN(CCOC(c1ccc(cc1)Cl)(c1ccccc1)C)C,-3.9983308,4.1817,303.826
C4160,NMTBSNPBIGRZBL-UHFFFAOYSA-N,[O-][N+](=O)c1ccc(cc1)n1cc(nc1C)[N+](=O)[O-],-3.997553697,3.0435,248.195
C4161,KTHVBAZBLKXIHZ-UHFFFAOYSA-N,CCN1CCCC(C1)OC(=O)C(c1ccccc1)c1ccccc1,-3.996437559,3.7839,323.429
C4162,FPAFSTKWKCXYFZ-UHFFFAOYSA-N,C[NH2+]CCC[NH+]1Cc2ccccc2Nc2c1cccc2.[Cl-].[Cl-],-3.995293284,-3.2413,340.291
C4163,SBDNJUWAMKYJOX-UHFFFAOYSA-N,OC(=O)c1ccccc1Nc1c(Cl)ccc(c1Cl)C,-3.994386083,4.8166,296.149
C4164,DMVWPCFYKFAELZ-UHFFFAOYSA-N,ClCC[NH+](CCOc1cccc2c1cccc2)CC.[Cl-],-3.993484603,-0.6338,314.25
C4165,RHMRYQBVNMDNNR-UHFFFAOYSA-N,ClCC[NH+](CCOc1ccc2c(c1)cccc2)CC.[Cl-],-3.993484603,-0.6338,314.25
C4166,LRXXRIXDSAEIOR-UHFFFAOYSA-N,CC(Cc1ccccc1)NCc1ccccc1Cl,-3.992996787,4.4517,259.774
C4167,HCOHTDOXFIHFJZ-UHFFFAOYSA-N,Brc1ccc(nc1)OCCCCCN1CSCC1C.Cl,-3.991837396,4.5279,381.759
C4168,WVEHPOKMRMWSLF-UHFFFAOYSA-N,O=C1NCC(C2(O1)CCN(CC2)CCCC(=O)c1ccc(cc1)Cl)C,-3.991595217,3.7801,364.866
C4169,WEUCDJCFJHYFRL-UHFFFAOYSA-N,CN1CCCN(CC1)C(c1ccc(cc1)Cl)c1ccccc1,-3.9905273,3.9427,314.852
C454,DZMDPHNGKBEVRE-UHFFFAOYSA-N,CCCCCCCCl,-3.99,3.1956,134.647
C455,GCKMFJBGXUYNAG-MPRNQXESSA-N,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@]2(C)O)C)C,-3.99,4.2693,302.451
C456,HEFNNWSXXWATRW-JTQLQIEISA-N,CC(Cc1ccc(cc1)[C@@H](C(=O)O)C)C,-3.99,3.0732,206.281
C4170,PZRHRDRVRGEVNW-UHFFFAOYSA-N,N#Cc1cc(c2ccncc2)c([nH]c1=O)C,-3.989285362,1.61698,211.219
C4171,SJCRQMUYEQHNTC-UHFFFAOYSA-N,OC(=O)Cc1cc(n(c1C)c1ccc(cc1)Cl)C,-3.988816938,3.3746,263.719
C4172,FEXLEYOXHRRAET-UHFFFAOYSA-M,CCCCCCCCC1(C)OC(=O)[N-]C1=O.[Na+],-3.988457924,2.8767,249.282
C4173,ZBLIDPKQJOFMPF-UHFFFAOYSA-N,CCCCOc1nc(OCCCC)cc(c1)C(=O)NN,-3.988358323,3.1341,281.351
C4174,LZCBNYVJTNCPDR-UHFFFAOYSA-N,COc1ccc(cc1)S(=O)(=O)Nc1nnc(s1)CC(C)C,-3.987471311,3.6998,327.422
C4175,SEYCAKMZVYADRS-UHFFFAOYSA-N,CCCCc1cc2ccccc2c(n1)OCCN(C)C.Cl,-3.9873205,4.3198,308.846
C4176,XDFDQLZAZMKFFJ-DNHMSYDNSA-N,OC(=O)C(CC(=O)O)(CC(=O)O)O.C=CCc1cc2C[C@H]3N(C)CC[C@@]4(c2cc1O)[C@H]3CCCC4,-3.986518984,2.4983,489.558
C4177,OOXHWFTXPIFDHP-OCIYDRMTSA-N,CC(=C)CN1CC[C@@]23[C@H]([C@H]1Cc1c3cc(cc1)O)CCCC2.Br,-3.984612263,4.9227,378.346
C4178,SEBFSSWJENDFFN-VAWYXSNFSA-N,O=C(/C=C/c1ccccc1)OCCCN1CCCCC1C,-3.981370073,3.4454,287.397
C4179,PKYOHQGXPPVIGD-HNNXBMFYSA-N,COc1c2c(CC[C@@H](c3c2ccc(c(=O)c3)SC)NC(=O)C)cc(c1OC)O,-3.980411369,3.6728,401.476
C457,LUALIOATIOESLM-UHFFFAOYSA-N,N#Cc1ccc2c(c1)N(CCCN1CCC(CC1)O)c1c(S2)cccc1,-3.98,4.01068,365.492
C4180,XXUXXCZCUGIGPP-WLRTZDKTSA-N,[O-][N+](=O)c1ccc(o1)/C=N/NC(=O)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-],-3.979348631,3.4342,365.212
C4181,SKALQPVVCXEHKD-UHFFFAOYSA-N,Cc1ccc(cc1)SCCNc1ccccc1C(=O)N,-3.978395918,4.0714,286.392
C4182,RPSRVESLGPZACW-UHFFFAOYSA-N,C=CCc1cc(Br)ccc1OCC(CO)O,-3.978106445,1.9096,287.15
C4183,ITDDTOSAIBLWDV-UHFFFAOYSA-N,C=CCc1cccc(c1OCC(CO)O)Br,-3.978106445,1.9096,287.15
C4184,IZHAHTWHSFEUDL-CFILVAQYSA-N,C[C@@H]1C[C@@H](C(=O)N1c1ccccc1)NCCc1ccccc1.Cl,-3.978059758,4.2706,330.852
C4185,IZHAHTWHSFEUDL-UHFFFAOYSA-N,CC1CC(C(=O)N1c1ccccc1)NCCc1ccccc1.Cl,-3.978059758,4.2706,330.852
C4186,OVEMTTZEBOCJDV-UHFFFAOYSA-N,CCCCCCc1ccc(cc1)N,-3.976845083,3.9728,177.286
C4187,GYPZUNUCQUOPSL-UHFFFAOYSA-N,OC(=O)C(c1ccc2c(c1)nc(o2)c1ccc2c(c1)OCO2)C,-3.975973457,3.4116,311.289
C4188,PAQUKACYLLABHB-UHFFFAOYSA-N,CN(CCOC(c1ccc(cc1)Cl)(c1ccccc1)C)C.Cl,-3.975544121,4.9837,340.287
C4189,UOCAPIHAVVORKH-UHFFFAOYSA-N,OC(CN1CCN(CC1)c1cccc(c1)C(F)(F)F)COc1cccc(c1)C(=O)C.Cl.Cl,-3.974765147,5.0768,495.363
C4190,VOKSWYLNZZRQPF-GDIGMMSISA-N,CC(=CCN1CC[C@@]2([C@H]([C@H]1Cc1c2cc(cc1)O)C)C)C,-3.974632215,3.8205,285.424
C4191,MCHADYPYCJQLMV-AWEZNQCLSA-N,COc1ccc2c(cc1=O)[C@H](CCc1c2c(OC)c(c(c1)OC)OC)NC(=O)C(F)(F)F,-3.973447887,3.8049,453.408
C4192,WZHCOOQXZCIUNC-UHFFFAOYSA-N,CC1CC(OC(=O)C(c2ccccc2)O)CC(C1)(C)C,-3.972857674,3.478,276.371
C4193,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,OC[C@H]1O[C@H]([C@@H]([C@@H]1NC(=O)[C@H](Cc1ccc(cc1)OC)N)O)n1cnc2c1ncnc2N(C)C,-3.972275801,0.2975,471.51
C4194,TZGOOZDYIXRJPG-UHFFFAOYSA-N,OCCN1CCN(CC1)CC(=O)N1c2ccccc2CCc2c1cccc2.Cl.Cl,-3.970690778,3.6046,438.391
C4195,RRZXPUXXMBILMU-UHFFFAOYSA-N,Clc1ccccc1C[NH2+]CC[NH2+]Cc1ccccc1Cl.[Cl-].[Cl-],-3.970510545,-4.1716,382.155
C458,JIVLDFFWTQYGSR-UHFFFAOYSA-N,Cc1ccnc2c1ccc1c2nccc1C,-3.97,3.3998,208.258
C4196,XQMDNZHAFZMBBP-UHFFFAOYSA-N,CCC(C(c1ccccc1)O)[NH+](CCCC)CCCC.[Cl-],-3.96917525,-0.0123,313.906
C4197,BDVRKCMKQNMZQR-UHFFFAOYSA-N,COc1ccc(cc1)C(=O)N1CC=Cc2c1cccc2,-3.96891205,3.4338,265.307
C4198,ADAILPWNRDCXTR-UHFFFAOYSA-L,C1CCCN1.C1CCCN1.[Cl-].[Cl-].[Pt+2],-3.968440407,-4.5973,408.226
